t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
29.96,Backstepping,circle,sim,-0.514243003536844,0.13939808643641255,-0.5361612355070932,0.20080380329909225,0.20102395062840564,-0.5151522785046314,0.14290133009583628,-0.5411853071795856,0.0014345783630650233,0.0025368024586420695,-0.001003592659924335,0.2011475619706378,0.2004147911869843
29.98,Backstepping,circle,sim,-0.5107903582665158,0.13734644353566264,-0.5321431787709926,0.2008108435500816,0.2009028368050306,-0.5117197717546605,0.1408475832569881,-0.537185307179586,0.0014287013379517995,0.0025350645250987744,-0.0010240716724928545,0.20114285619809158,0.20039757377724876
30.0,Backstepping,circle,sim,-0.5073284053136684,0.13530804713930314,-0.528123482108545,0.20087420265193223,0.20098483312238305,-0.5082790774992584,0.13880758283847916,-0.5331853071795866,0.0014226701843090125,0.0025332723305855004,-0.0010421284085939675,0.20113802754429505,0.20038226814271046
30.02,Backstepping,circle,sim,-0.5038571660769469,0.13328292945250392,-0.5241051387169221,0.20093906715682713,0.20091716958114228,-0.5048302507894586,0.1367813614802723,-0.5291853071795861,0.0014153686374186836,0.0025314349279305414,-0.0010618250710411337,0.2011321821626974,0.20036562886819756
30.04,Backstepping,circle,sim,-0.5003764360442998,0.1312709783259992,-0.520087379416935,0.201018835532984,0.20088796499935777,-0.5013733468064168,0.13476895160186686,-0.5251853071795864,0.001406758818939611,0.002529555222245514,-0.0010801684626643437,0.20112529037877228,0.20035005190458657
30.060000000000002,Backstepping,circle,sim,-0.49688790406859357,0.12927317329678323,-0.5160698098353672,0.20100423055427008,0.20087847907838766,-0.4979084208605211,0.1327703854017771,-0.521185307179586,0.0013965444589967536,0.002527643982110714,-0.001097927762651052,0.20111711502267232,0.2003349270777579
30.080000000000002,Backstepping,circle,sim,-0.49339080835489874,0.12728907888109794,-0.5120502662829602,0.201036744658136,0.20097717762034983,-0.4944355283905138,0.13078569485702007,-0.5171853071795856,0.0013866138999597732,0.0025257018488049694,-0.0011154973442183413,0.20110916668654824,0.20031993919712526
30.1,Backstepping,circle,sim,-0.4898847152755709,0.12531846675604286,-0.5080302322114153,0.20109699667277833,0.20100170357724828,-0.49095472496260095,0.1288149117226025,-0.513185307179586,0.001376030103803555,0.0025237292461493073,-0.0011350408966257497,0.201100695251273,0.2003033575158235
30.12,Backstepping,circle,sim,-0.48636956759741407,0.12336131870089655,-0.5040096113211907,0.20116343920438595,0.20103104451123224,-0.4874660662695616,0.1268580675310117,-0.5091853071795855,0.001364234424760804,0.002521725202089233,-0.0011550749681702444,0.20109125412000528,0.2002863683279465
30.14,Backstepping,circle,sim,-0.48284557042554405,0.12141776303199803,-0.4999908684746273,0.2012210519891958,0.20093714232816887,-0.48396960812986206,0.12491519359171377,-0.505185307179586,0.001351103169796818,0.002519693006453311,-0.001175695858395276,0.20108074430977826,0.2002688961730638
