t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
73.8,BSMC,circle,sim,0.9323917469372908,1.367825837500636,1.9497087829300772,0.19961265316180332,0.19931407508672425,0.9312991276473068,1.3642553154634331,1.9436293856408269,0.0010698799268490733,0.002324258974968304,-0.00209311578751592,0.20085814052808634,0.19944211599728218
73.82000000000001,BSMC,circle,sim,0.9309147001422396,1.3715355914351886,1.9536933410623727,0.19964932688152587,0.19922790661477638,0.9298346598877516,1.3679775880015377,1.94762938564083,0.0010868792589403802,0.002319572346345339,-0.00207939728924722,0.2008717882161468,0.1994508788230645
73.84,BSMC,circle,sim,0.9294227927556938,1.3752396555600501,1.9576781904731118,0.19966145528817802,0.199242470536953,0.9283553147934764,1.3716939729060793,1.9516293856408278,0.0011031225393124315,0.00231487768943549,-0.0020639554215449163,0.20088482984675124,0.19946102363544485
73.86,BSMC,circle,sim,0.9279158164672171,1.3789385322978118,1.9616615971588305,0.19970394747717585,0.1991703342859339,0.9268611160339689,1.3754044107149854,1.9556293856408273,0.0011191053418985928,0.0023101807551443015,-0.0020488048322844232,0.20089766227689637,0.19947093310966216
73.88,BSMC,circle,sim,0.9263941984895111,1.3826311815800236,1.9656442279633093,0.19969338992250998,0.19913154022394336,0.925352087516378,1.3791088420613289,1.959629385640827,0.0011342163827568045,0.002305485793928461,-0.0020322115180035905,0.2009097956589391,0.19948200372853855
73.9,BSMC,circle,sim,0.9248575694701862,1.3863185014828956,1.9696278413316632,0.19973455390309008,0.1991806684176991,0.9238282533851269,1.3828072076742886,1.9636293856408282,0.0011495182331914687,0.0023007971001668013,-0.0020148423224810585,0.20092208242331505,0.1994937013189264
73.92,BSMC,circle,sim,0.9233069839210948,1.389997962058194,1.9736144792673038,0.19964183974198896,0.19933189678203014,0.9222896380215305,1.3864994483800905,1.9676293856408278,0.0011639805503196308,0.002296119113433953,-0.0019984556908354545,0.20093369500924962,0.19950461395023825
73.94,BSMC,circle,sim,0.9217418399874918,1.3936709819647446,1.9775994300346018,0.19962934883685854,0.1992475383649036,0.9207362660434014,1.3901855051029635,1.9716293856408273,0.0011802855781243638,0.0022914381410819996,-0.001985093626476475,0.20094678511690367,0.1995130928850093
73.96000000000001,BSMC,circle,sim,0.9201623792691288,1.3973370218508447,1.9815852218048289,0.19959048453852088,0.19928958851135029,0.9191681623046573,1.3938653188660806,1.9756293856408287,0.0011968179856994446,0.002286746674961587,-0.0019700443937731293,0.200960058326158,0.19952292350125314
73.98,BSMC,circle,sim,0.9185678894021442,1.4009977236686626,1.985569214703327,0.1996442820048428,0.19919964492491066,0.9175853518949258,1.3975388307924965,1.9796293856408282,0.001214111004328101,0.00228204544334494,-0.001955836164000635,0.2009739415515852,0.19953207308448886
74.0,BSMC,circle,sim,0.9169581329923274,1.404653622479273,1.9895504395111878,0.1997305172749573,0.1990612403930441,0.9159878601391392,1.4012059821061005,1.9836293856408278,0.0012303053345123144,0.002277338656984595,-0.001939829062499232,0.20098694373738496,0.19954266656859063
74.02,BSMC,circle,sim,0.9153333621554449,1.40830414461917,1.99353101989392,0.19978858930293006,0.19902901913661428,0.9143757125971315,1.4048667141325502,1.9876293856408274,0.0012447500535827337,0.002272641734705728,-0.0019210538703604565,0.20099854287331637,0.19955549083107824
74.04,BSMC,circle,sim,0.9136939089456855,1.4119485350772456,1.9975122645704855,0.19980858738992782,0.19906223382827404,0.9127489350632282,1.4085209683002122,1.9916293856408287,0.0012580133596031176,0.0022679678769119806,-0.001901634253091311,0.20100919409990725,0.19956884448543905
74.06,BSMC,circle,sim,0.9120401938202333,1.4155858543478497,2.0014949228957803,0.19978028676809512,0.1991329162647352,0.9111075535658365,1.412168686141095,1.9956293856408283,0.0012708598031818,0.002263319686311329,-0.0018828789296572168,0.20101951046885178,0.19958167636555552
74.08,BSMC,circle,sim,0.9103722435902007,1.419216040741864,2.005477128259658,0.19975179113809602,0.19911026819388755,0.9094515943670247,1.4158098092917926,1.9996293856408278,0.001284257130958096,0.0022586913396149006,-0.0018655372549525315,0.20103026832476986,0.1995933810467387
74.10000000000001,BSMC,circle,sim,0.9086897132024843,1.4228398519067915,2.009460143885125,0.199768089698049,0.1991507812733385,0.9077810839621039,1.4194442794944135,2.003629385640829,0.001298205074017432,0.002254077357199586,-0.001847742618828807,0.2010414681567176,0.19960545693893259
74.12,BSMC,circle,sim,0.9069920536109806,1.4264584438150487,2.013442073762192,0.19985154169488173,0.19909649385335115,0.9060960490792065,1.423072038597509,2.0076293856408287,0.0013118106600003949,0.0022494792810857263,-0.0018307582442962378,0.20105239288716903,0.1996168889486184
74.14,BSMC,circle,sim,0.9052796786992525,1.4300709218317107,2.0174237773417536,0.1998888769990815,0.1990851789780797,0.9043965166788538,1.4266930285570127,2.0116293856408283,0.0013237266194784728,0.0022449030723130318,-0.0018126881213635926,0.2010619620283989,0.19962920466740822
74.16,BSMC,circle,sim,0.9035526616657676,1.4336771208534,2.021402903249666,0.199920354253763,0.19895629539561224,0.902682513953528,1.4303071914371623,2.015629385640828,0.0013348773301723057,0.0022403550067536995,-0.0017943917009257684,0.20107091707339206,0.19964171599329628
74.18,BSMC,circle,sim,0.9018115079040967,1.4372760078329834,2.0253809502503097,0.19989749819341865,0.1989023500321833,0.9009540683272356,1.4339144694114303,2.019629385640829,0.0013453748171354963,0.0022358417382453396,-0.0017735176088367055,0.2010793487543628,0.19965631704160877
74.2,BSMC,circle,sim,0.9000560671695544,1.440867907727963,2.0293599665217807,0.19989570423125413,0.19895081357354957,0.8992112074550709,1.4375148047634427,2.0236293856408287,0.0013563092865251515,0.0022313698748720055,-0.0017515646094810047,0.20108813140465676,0.19967180575746116
74.22,BSMC,circle,sim,0.8982861812421317,1.4444531323638627,2.033340486615939,0.19991455603552385,0.1990260047079138,0.89745395922277,1.4411081398879129,2.0276293856408283,0.001367264246097546,0.0022269408925106246,-0.001730580880952459,0.2010969300665495,0.1996865357814158
