camera_max_position_m,camera_rmse_heading_deg,camera_rmse_position_m,command_saturation_fraction,convergence_time_s,file,k1,k2,k3,ks1,ks2,mean_score,phi1,phi2,rejected_max_error,repeat,result_type,score,score_std,trajectory_closure_error_m,trial,worst_camera_error_m,worst_trajectory_closure_m
0.1074930255648229,6.832583333701973,0.06738073113520966,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_192259_eight_BSMC_fusion_optuna_t004_r02.csv,0.22058449429580246,3.909729556485983,5.2459918836018975,0.03683288997078364,0.11591061762159766,,1.0,1.5,,2,run,0.16936412927899988,,0.0008965218364521657,4,,
,,,,,,0.22058449429580246,3.909729556485983,5.2459918836018975,0.03683288997078364,0.11591061762159766,0.17012748430740227,1.0,1.5,True,all,candidate,5.108221466400339,0.0010795470340723519,,4,0.10822146640033896,0.002162339324808396
0.11205517561430973,5.642850228699597,0.08011501685696479,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_192430_eight_BSMC_fusion_optuna_t005_r01.csv,0.38340450985343383,1.9127267288786132,3.86140394234507,0.051656288758342814,0.14052655654455945,,1.0,1.5,,1,run,0.18107379746571406,,0.0024247300092047138,5,,
0.11265301122707615,5.864006371407738,0.0779817563380391,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_192602_eight_BSMC_fusion_optuna_t005_r02.csv,0.38340450985343383,1.9127267288786132,3.86140394234507,0.051656288758342814,0.14052655654455945,,1.0,1.5,,2,run,0.17951730290985962,,0.0026629990926489043,5,,
,,,,,,0.38340450985343383,1.9127267288786132,3.86140394234507,0.051656288758342814,0.14052655654455945,0.18029555018778684,1.0,1.5,True,all,candidate,5.112653011227076,0.0011006078553246162,,5,0.11265301122707615,0.0026629990926489043
0.15149907077601593,6.801179187688888,0.09547724699915232,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_192733_eight_BSMC_fusion_optuna_t006_r01.csv,0.8118528947223795,1.4184815819561254,2.8146509184084816,0.047229424422324195,0.1776157464488331,,1.0,1.5,,1,run,0.2084500210445713,,0.002030040209603922,6,,
0.15067635832983142,6.3332700545535845,0.09768327993074033,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_192905_eight_BSMC_fusion_optuna_t006_r02.csv,0.8118528947223795,1.4184815819561254,2.8146509184084816,0.047229424422324195,0.1776157464488331,,1.0,1.5,,2,run,0.20959143393349686,,0.0020701365120276674,6,,
,,,,,,0.8118528947223795,1.4184815819561254,2.8146509184084816,0.047229424422324195,0.1776157464488331,0.20902072748903408,1.0,1.5,True,all,candidate,5.1514990707760155,0.0008071007938929858,,6,0.15149907077601593,0.0020701365120276674
0.16234728248368233,5.816468375039743,0.10130847391642203,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_193036_eight_BSMC_fusion_optuna_t007_r01.csv,0.9851759613930136,1.5990213464750793,3.814054972861252,0.06248798339818787,0.0854513428619995,,1.0,1.5,,1,run,0.21525105461076074,,0.0003637230144633529,7,,
0.15852013952723842,5.476562594068059,0.1002130905427307,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_193207_eight_BSMC_fusion_optuna_t007_r02.csv,0.9851759613930136,1.5990213464750793,3.814054972861252,0.06248798339818787,0.0854513428619995,,1.0,1.5,,2,run,0.2126864594109691,,0.001288554624494749,7,,
,,,,,,0.9851759613930136,1.5990213464750793,3.814054972861252,0.06248798339818787,0.0854513428619995,0.21396875701086493,1.0,1.5,True,all,candidate,5.162347282483682,0.0018134426567711502,,7,0.16234728248368233,0.001288554624494749
0.13993662638303825,5.744753086420161,0.09298939809471013,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_193339_eight_BSMC_fusion_optuna_t008_r01.csv,0.8075448519014383,1.5115723710618747,1.7927321684337578,0.08654977376459999,0.2922672074417759,,1.0,1.5,,1,run,0.20123307733118595,,0.0009536379124060291,8,,
0.13072817414732432,5.427913609131415,0.08768749497836674,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_193510_eight_BSMC_fusion_optuna_t008_r02.csv,0.8075448519014383,1.5115723710618747,1.7927321684337578,0.08654977376459999,0.2922672074417759,,1.0,1.5,,2,run,0.1930494625889652,,0.0026771641550130732,8,,
,,,,,,0.8075448519014383,1.5115723710618747,1.7927321684337578,0.08654977376459999,0.2922672074417759,0.19714126996007558,1.0,1.5,True,all,candidate,5.139936626383038,0.0057866894788425015,,8,0.13993662638303825,0.0026771641550130732
