t,ros_time,condition,distance_m,rx_time,robot_time_ms,seq,interarrival_ms,seq_gap
36.512059926986694,1783850114.9329007,moving,20.0,19445.357421875,nan,nan,51.84238815307617,nan
36.562228202819824,1783850114.983069,moving,20.0,19445.40625,nan,nan,50.16259765625,nan
36.60507583618164,1783850115.0259166,moving,20.0,19445.44921875,nan,nan,42.763145446777344,nan
36.65546202659607,1783850115.0763028,moving,20.0,19445.5,nan,nan,50.26166534423828,nan
36.705517053604126,1783850115.1263578,moving,20.0,19445.55078125,nan,nan,50.16687774658203,nan
36.756470918655396,1783850115.1773117,moving,20.0,19445.6015625,nan,nan,50.708396911621094,nan
36.80555319786072,1783850115.226394,moving,20.0,19445.650390625,nan,nan,49.18415451049805,nan
36.8614444732666,1783850115.2822852,moving,20.0,19445.70703125,nan,nan,55.83186340332031,nan
36.92494440078735,1783850115.3457851,moving,20.0,19445.76953125,nan,nan,63.84484100341797,nan
36.9608895778656,1783850115.3817303,moving,20.0,19445.806640625,nan,nan,35.857669830322266,nan
37.00720548629761,1783850115.4280462,moving,20.0,19445.8515625,nan,nan,46.32508087158203,nan
37.05546975135803,1783850115.4763105,moving,20.0,19445.900390625,nan,nan,48.28074264526367,nan
37.11047840118408,1783850115.5313191,moving,20.0,19445.955078125,nan,nan,54.989662170410156,nan
37.156965255737305,1783850115.577806,moving,20.0,19446.001953125,nan,nan,45.84870910644531,nan
37.21473550796509,1783850115.6355762,moving,20.0,19446.05859375,nan,nan,58.34281921386719,nan
37.257978677749634,1783850115.6788194,moving,20.0,19446.1015625,nan,nan,41.55471420288086,nan
37.314250230789185,1783850115.735091,moving,20.0,19446.158203125,nan,nan,57.9567756652832,nan
37.35723853111267,1783850115.7780793,moving,20.0,19446.201171875,nan,nan,43.06660461425781,nan
37.406089782714844,1783850115.8269305,moving,20.0,19446.251953125,nan,nan,48.904441833496094,nan
37.458003997802734,1783850115.8788447,moving,20.0,19446.302734375,nan,nan,51.27226638793945,nan
37.5075466632843,1783850115.9283874,moving,20.0,19446.3515625,nan,nan,48.75086975097656,nan
37.55901265144348,1783850115.9798534,moving,20.0,19446.404296875,nan,nan,52.806968688964844,nan
37.6194806098938,1783850116.0403214,moving,20.0,19446.462890625,nan,nan,59.28961181640625,nan
37.66221261024475,1783850116.0830534,moving,20.0,19446.5078125,nan,nan,43.79729461669922,nan
37.707659006118774,1783850116.1284997,moving,20.0,19446.552734375,nan,nan,45.60614776611328,nan
37.7718825340271,1783850116.1927233,moving,20.0,19446.6171875,nan,nan,64.20514678955078,nan
37.807345151901245,1783850116.228186,moving,20.0,19446.65234375,nan,nan,35.468074798583984,nan
37.85672068595886,1783850116.2775614,moving,20.0,19446.701171875,nan,nan,49.34284591674805,nan
37.90741515159607,1783850116.328256,moving,20.0,19446.751953125,nan,nan,50.60377883911133,nan
37.958163022994995,1783850116.3790038,moving,20.0,19446.802734375,nan,nan,50.827110290527344,nan
38.00727033615112,1783850116.428111,moving,20.0,19446.8515625,nan,nan,49.1831169128418,nan
38.05746579170227,1783850116.4783065,moving,20.0,19446.90234375,nan,nan,49.73392868041992,nan
38.10703158378601,1783850116.5278723,moving,20.0,19446.951171875,nan,nan,49.91887664794922,nan
38.15692090988159,1783850116.5777617,moving,20.0,19447.001953125,nan,nan,49.982879638671875,nan
38.20786762237549,1783850116.6287084,moving,20.0,19447.052734375,nan,nan,50.89894485473633,nan
38.25700640678406,1783850116.6778471,moving,20.0,19447.1015625,nan,nan,49.193763732910156,nan
38.31019687652588,1783850116.7310376,moving,20.0,19447.154296875,nan,nan,53.19940948486328,nan
38.38304114341736,1783850116.803882,moving,20.0,19447.228515625,nan,nan,72.84639739990234,nan
38.41218090057373,1783850116.8330216,moving,20.0,19447.2578125,nan,nan,29.166568756103516,nan
38.46071410179138,1783850116.8815548,moving,20.0,19447.3046875,nan,nan,48.4544792175293,nan
38.508060455322266,1783850116.9289012,moving,20.0,19447.353515625,nan,nan,47.351619720458984,nan
38.55896973609924,1783850116.9798105,moving,20.0,19447.404296875,nan,nan,50.88440704345703,nan
38.61518168449402,1783850117.0360224,moving,20.0,19447.4609375,nan,nan,56.19504928588867,nan
38.675358295440674,1783850117.096199,moving,20.0,19447.51953125,nan,nan,60.087791442871094,nan
38.713234424591064,1783850117.1340752,moving,20.0,19447.55859375,nan,nan,38.052833557128906,nan
38.765220403671265,1783850117.1860611,moving,20.0,19447.609375,nan,nan,51.97795867919922,nan
38.81804943084717,1783850117.2388902,moving,20.0,19447.662109375,nan,nan,52.805171966552734,nan
38.87784743309021,1783850117.2986882,moving,20.0,19447.72265625,nan,nan,59.61040496826172,nan
38.918140172958374,1783850117.338981,moving,20.0,19447.763671875,nan,nan,40.455810546875,nan
38.9591863155365,1783850117.380027,moving,20.0,19447.8046875,nan,nan,41.015724182128906,nan
39.03529477119446,1783850117.4561355,moving,20.0,19447.880859375,nan,nan,76.13761138916016,nan
39.08507800102234,1783850117.5059187,moving,20.0,19447.9296875,nan,nan,49.90715789794922,nan
39.11188745498657,1783850117.5327282,moving,20.0,19447.95703125,nan,nan,26.777013778686523,nan
39.17725443840027,1783850117.5980952,moving,20.0,19448.021484375,nan,nan,65.27327728271484,nan
