t,ros_time,condition,distance_m,rx_time,robot_time_ms,seq,interarrival_ms,seq_gap
2.155716896057129,1783764355.8947127,Static,20.0,20063.58203125,nan,nan,46.15324020385742,nan
2.220865249633789,1783764355.959861,Static,20.0,20063.646484375,nan,nan,64.9864730834961,nan
2.2603952884674072,1783764355.999391,Static,20.0,20063.6875,nan,nan,39.66625213623047,nan
2.333864688873291,1783764356.0728605,Static,20.0,20063.759765625,nan,nan,73.44385528564453,nan
2.8255600929260254,1783764356.564556,Static,20.0,20064.251953125,nan,nan,491.5836486816406,nan
3.1624832153320312,1783764356.901479,Static,20.0,20064.58984375,nan,nan,337.0021057128906,nan
3.16430926322937,1783764356.903305,Static,20.0,20064.591796875,nan,nan,2.0561530590057373,nan
3.2760720252990723,1783764357.0150678,Static,20.0,20064.703125,nan,nan,111.44905853271484,nan
3.3162989616394043,1783764357.0552948,Static,20.0,20064.7421875,nan,nan,40.429019927978516,nan
3.3673207759857178,1783764357.1063166,Static,20.0,20064.794921875,nan,nan,50.98002624511719,nan
3.4187419414520264,1783764357.1577377,Static,20.0,20064.845703125,nan,nan,51.29086685180664,nan
3.46069073677063,1783764357.1996865,Static,20.0,20064.88671875,nan,nan,42.04176330566406,nan
3.664999485015869,1783764357.4039953,Static,20.0,20065.091796875,nan,nan,204.15884399414062,nan
3.676755428314209,1783764357.4157512,Static,20.0,20065.103515625,nan,nan,11.912771224975586,nan
3.7114436626434326,1783764357.4504395,Static,20.0,20065.138671875,nan,nan,34.67758560180664,nan
3.7657227516174316,1783764357.5047185,Static,20.0,20065.19140625,nan,nan,54.25261306762695,nan
3.858774423599243,1783764357.5977702,Static,20.0,20065.28515625,nan,nan,92.82087707519531,nan
3.872464656829834,1783764357.6114604,Static,20.0,20065.298828125,nan,nan,13.755090713500977,nan
3.970273971557617,1783764357.7092698,Static,20.0,20065.396484375,nan,nan,98.0006332397461,nan
4.014243125915527,1783764357.753239,Static,20.0,20065.44140625,nan,nan,43.73931121826172,nan
6.760946273803711,1783764360.499942,Static,20.0,20068.1875,nan,nan,2746.85205078125,nan
6.823976993560791,1783764360.5629728,Static,20.0,20068.25,nan,nan,63.1412239074707,nan
6.850692272186279,1783764360.589688,Static,20.0,20068.27734375,nan,nan,26.76854133605957,nan
6.991248607635498,1783764360.7302444,Static,20.0,20068.41796875,nan,nan,140.44134521484375,nan
7.00159764289856,1783764360.7405934,Static,20.0,20068.427734375,nan,nan,10.47402572631836,nan
7.0177857875823975,1783764360.7567816,Static,20.0,20068.4453125,nan,nan,16.160860061645508,nan
7.0242908000946045,1783764360.7632866,Static,20.0,20068.451171875,nan,nan,6.544240951538086,nan
7.030859470367432,1783764360.7698553,Static,20.0,20068.45703125,nan,nan,6.618483066558838,nan
7.032697677612305,1783764360.7716935,Static,20.0,20068.458984375,nan,nan,1.8809419870376587,nan
7.0360634326934814,1783764360.7750592,Static,20.0,20068.462890625,nan,nan,3.440871000289917,nan
7.036423921585083,1783764360.7754197,Static,20.0,20068.462890625,nan,nan,0.4156309962272644,nan
7.038060426712036,1783764360.7770562,Static,20.0,20068.46484375,nan,nan,1.6559770107269287,nan
7.040729999542236,1783764360.7797258,Static,20.0,20068.466796875,nan,nan,2.668154001235962,nan
7.125975608825684,1783764360.8649714,Static,20.0,20068.552734375,nan,nan,84.81436157226562,nan
7.159933567047119,1783764360.8989294,Static,20.0,20068.5859375,nan,nan,34.01892852783203,nan
7.171149492263794,1783764360.9101453,Static,20.0,20068.59765625,nan,nan,11.388487815856934,nan
7.2422826290130615,1783764360.9812784,Static,20.0,20068.66796875,nan,nan,71.03551483154297,nan
7.2943360805511475,1783764361.0333319,Static,20.0,20068.720703125,nan,nan,52.06545639038086,nan
7.331962585449219,1783764361.0709584,Static,20.0,20068.7578125,nan,nan,37.58856964111328,nan
7.3767900466918945,1783764361.1157858,Static,20.0,20068.802734375,nan,nan,44.84182357788086,nan
7.427363395690918,1783764361.1663592,Static,20.0,20068.853515625,nan,nan,50.56514358520508,nan
7.490078687667847,1783764361.2290745,Static,20.0,20068.916015625,nan,nan,62.59196472167969,nan
7.5404839515686035,1783764361.2794797,Static,20.0,20068.966796875,nan,nan,50.42519760131836,nan
7.5729780197143555,1783764361.3119738,Static,20.0,20069.0,nan,nan,32.30813217163086,nan
7.618452548980713,1783764361.3574483,Static,20.0,20069.044921875,nan,nan,45.83854675292969,nan
7.6688597202301025,1783764361.4078555,Static,20.0,20069.095703125,nan,nan,50.2452278137207,nan
7.7187511920928955,1783764361.457747,Static,20.0,20069.14453125,nan,nan,50.04170227050781,nan
7.770700216293335,1783764361.509696,Static,20.0,20069.197265625,nan,nan,51.96173095703125,nan
7.87308669090271,1783764361.6120825,Static,20.0,20069.298828125,nan,nan,102.14924621582031,nan
7.874168157577515,1783764361.613164,Static,20.0,20069.30078125,nan,nan,1.3299859762191772,nan
7.921910047531128,1783764361.6609058,Static,20.0,20069.34765625,nan,nan,47.686134338378906,nan
7.988233327865601,1783764361.727229,Static,20.0,20069.4140625,nan,nan,65.9865951538086,nan
8.028827428817749,1783764361.7678232,Static,20.0,20069.455078125,nan,nan,40.81983184814453,nan
8.070657968521118,1783764361.8096538,Static,20.0,20069.498046875,nan,nan,41.850643157958984,nan
8.143878936767578,1783764361.8828747,Static,20.0,20069.5703125,nan,nan,73.09207153320312,nan
