camera_rmse_position_m,cmd_v_delta_std,cmd_w_delta_std,command_saturation_fraction,convergence_time_s,file,k1,k2,k3,ks1,ks2,max_position_m,n_active,phi1,phi2,rmse_etheta_deg,rmse_position_m,score,trial
0.07931198025093184,0.0019272259509412388,0.007570203341457493,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181025_eight_BSMC_fusion_optuna_t013.csv,1.0897676763528144,5.322181310951148,3.9297616217833435,0.036944807813614054,0.1340110602330046,0.12949500298424158,933,1.0,1.5,9.167498717111178,0.07708134215177237,0.12746924945976223,13
0.0818904400727368,0.0018376990529178588,0.008511460289662121,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181135_eight_BSMC_fusion_optuna_t014.csv,0.9893458224179097,5.925080061080053,5.07384064970522,0.07642921220916873,0.19158581227447172,0.12500295231185457,936,1.0,1.5,7.868483174798814,0.07962440126547532,0.1269822118781952,14
0.0930661575414927,0.002701494299420843,0.013225230679276214,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181244_eight_BSMC_fusion_optuna_t015.csv,1.4910551964500414,4.148429092996674,7.3940504624668435,0.037742825366417834,0.11083388151331043,0.15352156182997945,892,1.0,1.5,8.182307760674755,0.09167486588832882,0.14592412366599955,15
0.06148826356825031,0.0008378647025184244,0.008023467609268871,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181354_eight_BSMC_fusion_optuna_t016.csv,0.2940404778165222,6.548494769354795,9.966140519853202,0.07779097441154559,0.2236925381907645,0.08240232221633143,1035,1.0,1.5,7.375921596078856,0.05871731428349777,0.09565357696756627,16
0.06147440611578542,0.000706841275919432,0.007889430211468408,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181504_eight_BSMC_fusion_optuna_t017.csv,0.20563924564221586,6.860179574243423,9.628551717329191,0.04872804928103688,0.2298516401887949,0.09627217407859912,1035,1.0,1.5,8.627915558179293,0.06012571322926099,0.10057379530529022,17
0.07927842451565727,0.00154572245520891,0.009306431458909747,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181614_eight_BSMC_fusion_optuna_t018.csv,0.827126432533118,6.61868476097048,8.404133995970023,0.03461619762246466,0.2549858060324705,0.11814915393352018,956,1.0,1.5,6.988791150854983,0.07659176016705212,0.12093304185686726,18
0.08935654996926175,0.0024821304033894706,0.014002717326616175,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181723_eight_BSMC_fusion_optuna_t019.csv,1.357559479139596,7.895293712829609,8.749381744201358,0.07582268397586499,0.21009243411756046,0.14084742913321333,902,1.0,1.5,7.539794425734347,0.08744254376182699,0.1380379401672407,19
0.06509590318393595,0.0010669823643372003,0.00761222797453933,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181833_eight_BSMC_fusion_optuna_t020.csv,0.464833788257369,6.506395102389989,7.672286514453624,0.0534393539578891,0.25828277895303225,0.08730177769422345,1022,1.0,1.5,9.085861385858369,0.06231142699421137,0.10422499530187282,20
0.08566546863228378,0.0016875459596158522,0.013973088067157198,0.0,0.6003310680389404,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_181943_eight_BSMC_fusion_optuna_t021.csv,0.835099470388673,6.038947831547506,9.989146728128953,0.0426319913362486,0.15756338928892877,0.11905271481640554,915,1.0,1.5,6.068410962102041,0.08344781878235365,0.12665702495807984,21
0.06356850796252307,0.0007066628192428285,0.0076118803735769815,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_182052_eight_BSMC_fusion_optuna_t022.csv,0.2112064715870739,7.1481456751065195,9.156440518821471,0.029339795473678404,0.2175891685125045,0.09100454097831535,1036,1.0,1.5,6.920084010492184,0.06111936962680613,0.09923085923658602,22
