Time,Odom_X,Odom_Y,Odom_Yaw(deg),Cam_X,Cam_Y,Cam_Yaw(deg),Diff_X,Diff_Y,Diff_Yaw
6.12,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.18,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.22,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.32,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.37,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.46,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.48,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.52,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.57,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.62,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.68,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.72,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.79,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.82,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.87,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.92,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.98,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.02,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.07,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.13,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.18,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.23,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.33,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.38,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.43,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.48,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.53,0.000,0.000,0.0,-1.111,1.159,2.5,-1.111,1.159,2.5
7.58,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.63,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.68,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.73,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.78,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.83,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.88,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.93,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.98,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.03,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.08,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
